Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
434482007,434457007,Microbispora rosea subspecies aerata (organism),Microbispora rosea subspecies rosea (organism)
434544001,434718003,Hyphomicrobium facile subspecies tolerans (organism),Hyphomicrobium facile subspecies facile (organism)
132511009,132642007,Greater Swiss Mountain Dog breed (organism),Swiss Mountain Dog breed (organism)
441442004,441394003,Streptosporangium amethystogenes subspecies fukuiense (organism),Streptosporangium amethystogenes subspecies amethystogenes (organism)
131769002,132798001,Welsh Mountain Badger Faced sheep breed (organism),Welsh Mountain sheep breed (organism)
132684004,131771002,Weisse Hornlose Heidschnucke sheep breed (organism),Heidschnucke sheep breed (organism)
132911004,132896009,Swiss Fox rabbit breed (organism),Fox rabbit breed (organism)
125093001,125091004,Bison bison X Bos taurus indicus X Bos taurus taurus (organism),Bos taurus indicus (organism)
125093001,125094007,Bison bison X Bos taurus indicus X Bos taurus taurus (organism),Bos taurus indicus X Bos taurus taurus (organism)
13544004,66911005,Belted Galloway cattle breed (organism),Galloway cattle breed (organism)
132605000,132603007,Petit Griffon Bleu de Gascogne dog breed (organism),Petit Bleu de Gascogne dog breed (organism)
443301008,443302001,Bifidobacterium longum subspecies infantis (organism),Bifidobacterium longum subspecies longum (organism)
113610001,113609006,Corynebacterium afermentans ss lipophilum (organism),Corynebacterium afermentans ss afermentans (organism)
723817009,723816000,Pseudomonas cedrina subspecies fulgida (organism),Pseudomonas cedrina subspecies cedrina (organism)
285178006,285180000,Latrodectus mactans tredecemguttatus (organism),Latrodectus mactans mactans (organism)
131812009,44082004,Call breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
113757008,113758003,Fusobacterium necrophorum subspecies fundiliforme (organism),Fusobacterium necrophorum subspecies necrophorum (organism)
132700003,44082004,Khaki Campbell breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
432167008,432228005,Photorhabdus luminescens subspecies akhurstii (organism),Photorhabdus luminescens subspecies luminescens (organism)
113523003,113524009,Campylobacter jejuni ss doylei (organism),Campylobacter jejuni ss jejuni (organism)
43869002,44082004,Rouen duck breed (organism),Anas platyrhynchos platyrhynchos (organism)
125086000,125084002,Equus caballus gmelini X Equus caballus caballus (organism),Equus caballus gmelini (organism)
132156005,133162009,"Hainan, Tunchang pig breed (organism)",Hainan pig breed (organism)
132156005,132199000,"Hainan, Tunchang pig breed (organism)",Tunchang pig breed (organism)
132760001,133052004,Mangalarga Marchador horse breed (organism),Mangalarga horse breed (organism)
87963004,46401002,"Treponema refringens, biotype calligyrum (organism)","Treponema refringens, biotype refringens (organism)"
699437004,20027006,Trypanosoma brucei gambiense trophozoite (organism),Trypanosoma brucei gambiense (organism)
409911001,44082004,Moulard duck breed (organism),Anas platyrhynchos platyrhynchos (organism)
438912003,438911005,Serratia marcescens subspecies sakuensis (organism),Serratia marcescens subspecies marcescens (organism)
434621008,434722008,Pilimelia columellifera subspecies pallida (organism),Pilimelia columellifera subspecies columellifera (organism)
73456004,81665004,Ground squirrel hepatitis B virus (organism),Hepatitis B virus (organism)
113763004,113761002,Fusobacterium nucleatum subspecies vincentii (organism),Fusobacterium nucleatum subspecies nucleatum (organism)
132826003,132862002,Ko Shamo chicken breed (organism),Shamo chicken breed (organism)
450888001,450889009,Oryx beisa subspecies callotis (organism),Oryx beisa subspecies beisa (organism)
131821005,44082004,Australian Spotted breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
57644007,7004000,Theileria parva lawrencei (organism),Theileria parva parva (organism)
440726000,441361001,Streptomyces cinnamoneus subspecies lanosus (organism),Streptomyces cinnamoneus subspecies cinnamoneus (organism)
243284003,433053006,Listeria ivanovii subspecies londoniensis (organism),Listeria ivanovii subspecies ivanovii (organism)
131820006,44082004,Ancona breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
243395006,243396007,Desulfovibrio desulfuricans subsp aestuarii (organism),Desulfovibrio desulfuricans subsp desulfuricans (organism)
438739002,437931007,Streptomyces globisporus subspecies caucasicus (organism),Streptomyces globisporus subspecies globisporus (organism)
133386001,133385002,Red Flemish cattle breed (organism),Flemish cattle breed (organism)
132745004,132744000,Welsh Pony of Cob Type horse breed (organism),Welsh Pony horse breed (organism)
434628002,434699002,Clavibacter michiganensis subspecies tessellarius (organism),Clavibacter michiganensis subspecies michiganensis (organism)
131728006,131771002,Graue Gehoernte Heidschnucke sheep breed (organism),Heidschnucke sheep breed (organism)
717076005,717077001,Oceanobacillus oncorhynchi subspecies incaldanensis (organism),Oceanobacillus oncorhynchi subspecies oncorhynchi (organism)
34083006,407419004,Chimpanzee foamy virus human isolate (organism),Chimpanzee foamy virus (organism)
133746006,133699005,Polled Guzerat cattle breed (organism),Guzerat cattle breed (organism)
133348005,133265004,Central Russian Black Pied cattle breed (organism),Russian Black Pied cattle breed (organism)
132928001,132901006,New Zealand Red rabbit breed (organism),New Zealand rabbit breed (organism)
723812003,723810006,Photorhabdus temperata subspecies khanii (organism),Photorhabdus temperata subspecies temperata (organism)
131847001,70881005,American buff goose breed (organism),Anser anser anser (organism)
133692001,133599002,Kenya Boran cattle breed (organism),Boran cattle breed (organism)
441409000,441414001,Sporolactobacillus nakayamae subspecies racemicus (organism),Sporolactobacillus nakayamae subspecies nakayamae (organism)
132669008,132665002,Munchkin Shorthair cat breed (organism),Shorthair cat breed (organism)
133201006,77236002,Romanian Large White pig breed (organism),Large white pig (organism)
133749004,28336001,Red Brangus cattle breed (organism),Brangus cattle breed (organism)
70331007,91131004,Plant producing anthraquinone glycoside (organism),Plant producing glycoside (organism)
131815006,44082004,Pommeranian breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
133802009,133253003,Gambian N'Dama cattle breed (organism),N'dama cattle breed (organism)
434518001,434511007,Caldanaerobacter subterraneus subspecies yonseiensis (organism),Caldanaerobacter subterraneus subspecies subterraneus (organism)
131825001,44082004,Black East Indies breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
131845009,70881005,Chinese brown goose breed (organism),Anser anser anser (organism)
131824002,44082004,Aylesbury breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
132916009,132883008,Tan Pattern Rex rabbit breed (organism),Tan rabbit breed (organism)
132397008,132426009,Basset Fauve de Bretagne dog breed (organism),Fauve de Bretagne dog breed (organism)
131612006,131628001,Negra Serrana goat breed (organism),Serrana goat breed (organism)
432358002,432264006,Clostridium estertheticum subspecies laramiense (organism),Clostridium estertheticum subspecies estertheticum (organism)
428040003,428039000,Azotobacter nigricans subspecies achromogenes (organism),Azotobacter nigricans subspecies nigricans (organism)
132264009,77236002,Danish Large White pig breed (organism),Large white pig (organism)
441410005,441446001,Thermoanaerobacter brockii subspecies finnii (organism),Thermoanaerobacter brockii subspecies brockii (organism)
132160008,132056008,"Piau, Sorocaba pig breed (organism)",Piau pig breed (organism)
132064002,132056008,"Piau, Caruncho Piau pig breed (organism)",Piau pig breed (organism)
131936007,133052004,Mangalarga Paulista horse breed (organism),Mangalarga horse breed (organism)
423004003,424719003,Alcaligenes faecalis subspecies parafaecalis (organism),Alcaligenes faecalis subspecies faecalis (organism)
131849003,70881005,Roman goose breed (organism),Anser anser anser (organism)
132921007,132870007,Harlequin Rex rabbit breed (organism),Harlequin rabbit breed (organism)
132088000,77236002,French Large White pig breed (organism),Large white pig (organism)
432832005,91508008,Francisella tularensis subspecies novicida (organism),Francisella tularensis subspecies tularensis (organism)
431372008,431373003,Nocardiopsis dassonvillei subspecies albirubida (organism),Nocardiopsis dassonvillei subspecies dassonvillei (organism)
131841000,70881005,African goose breed (organism),Anser anser anser (organism)
133704002,133716008,Australian Braford cattle breed (organism),Braford cattle breed (organism)
132325009,132324008,"Xinjin, Jilin Black pig breed (organism)",Xinjin pig breed (organism)
53169009,14389008,Wheat striate mosaic virus (organism),Wheat mosaic virus (organism)
39859000,31613002,Culex pipiens pallens (organism),Culex pipiens pipiens (organism)
115004003,116136002,Serratia proteamaculans subsp quinovora (organism),Serratia proteamaculans subsp proteamaculans (organism)
132995007,133136000,West African Barb horse breed (organism),Barb horse breed (organism)
133715007,133627000,Australian Friesian Sahiwal cattle breed (organism),Sahiwal cattle breed (organism)
434646008,434699002,Clavibacter michiganensis subspecies sepedonicus (organism),Clavibacter michiganensis subspecies michiganensis (organism)
723806008,723807004,Geobacillus thermodenitrificans subspecies calidus (organism),Geobacillus thermodenitrificans subspecies thermodenitrificans (organism)
434800006,434799007,Prochlorococcus marinus subspecies pastoris (organism),Prochlorococcus marinus subspecies marinus (organism)
434647004,434605003,Planomonospora parontospora subspecies antibiotica (organism),Planomonospora parontospora subspecies parontospora (organism)
432999003,29947009,Lactobacillus delbrueckii subspecies indicus (organism),Lactobacillus delbrueckii subspecies delbrueckii (organism)
125095008,125091004,Bos javanicus X Bos taurus indicus (organism),Bos taurus indicus (organism)
131846005,70881005,Toulouse goose breed (organism),Anser anser anser (organism)
440749003,441361001,Streptomyces cinnamoneus subspecies sparsus (organism),Streptomyces cinnamoneus subspecies cinnamoneus (organism)
36335002,83763005,Bulinus (Bulinus) truncatus rohlfsi (organism),Bulinus (Bulinus) truncatus (organism)
438202004,432505008,Staphylococcus hominis subspecies novobiosepticus (organism),Staphylococcus hominis subspecies hominis (organism)
132382005,132527002,"Belgian Griffon, Rough dog breed (organism)",Belgian Griffon dog breed (organism)
432957004,431151004,Beijerinckia indica subspecies lacticogenes (organism),Beijerinckia indica subspecies indica (organism)
437941005,438381006,Streptomyces albus subspecies pathocidicus (organism),Streptomyces albus subspecies albus (organism)
131783000,131717007,Whiteface Dartmoor sheep breed (organism),Dartmoor sheep breed (organism)
132813002,132798001,Balwen Welsh Mountain sheep breed (organism),Welsh Mountain sheep breed (organism)
50635008,91131004,Plant producing cardiac glycoside (organism),Plant producing glycoside (organism)
441141003,441150001,Streptomyces rutgersensis subspecies castelarensis (organism),Streptomyces rutgersensis subspecies rutgersensis (organism)
131840004,70881005,Diepholz goose breed (organism),Anser anser anser (organism)
